path;ROI1;ROI2;ROI3
rawdata/EXO1_2_12.jpg;2.923e+07;1.587e+06;6.956e+06
rawdata/EXO2_2_12.jpg;1.866e+07;1.892e+06;6.898e+05
rawdata/EXO1_2_15.jpg;8.474e+06;1.866e+06;8.491e+05
rawdata/EXO2_2_15.jpg;5.061e+06;2.533e+06;1.013e+06
rawdata/EXO3_2_15.jpg;4.483e+06;2.670e+06;1.248e+06
rawdata/EXO4_3_8.jpg;8.733e+06;1.911e+06;7.615e+05
rawdata/EXO1_3_12.jpg;1.994e+06;1.481e+06;3.601e+05
rawdata/EXO2_3_12.jpg;3.782e+06;2.899e+06;9.583e+05
rawdata/EXO3_3_12.jpg;3.710e+06;2.826e+06;8.203e+05
rawdata/EXO1_3_20.jpg;2.617e+06;1.838e+06;7.213e+05
rawdata/EXO2_3_20.jpg;3.205e+06;2.362e+06;9.090e+05
rawdata/EXO_6_16.jpg;1.852e+06;7.332e+05;2.601e+05
rawdata/EXO_7_22.jpg;1.790e+06;8.213e+05;3.254e+05
rawdata/EXO_7_30.jpg;8.555e+05;3.651e+05;5.068e+04
rawdata/EXO_8_1.jpg;7.442e+06;3.440e+06;1.252e+06
rawdata/MV1_2_15.jpg;5.910e+05;2.982e+05;8.011e+04
rawdata/MV2_2_15.jpg;2.320e+06;5.716e+05;2.005e+05
rawdata/MV1_3_8.jpg;1.127e+06;5.444e+05;1.998e+05
rawdata/MV2_3_8.jpg;4.057e+06;6.237e+05;2.315e+05
rawdata/MV_7_15.jpg;1.864e+06;1.414e+06;3.995e+05
rawdata/MV2_7_15.jpg;2.548e+06;2.123e+06;6.783e+05
rawdata/MV_7_16.jpg;2.223e+06;1.842e+06;5.013e+05
rawdata/MV2_7_16.jpg;2.503e+06;2.005e+06;6.308e+05
rawdata/MV_7_22.jpg;1.585e+06;7.269e+05;3.223e+05
rawdata/MV_7_30.jpg;1.991e+06;4.986e+05;1.576e+05
rawdata/MV_8_1.jpg;2.385e+06;9.776e+05;2.595e+05
rawdata/MV2_8_1.jpg;2.075e+06;1.020e+06;2.225e+05